episode=102, steps=758, server_farm_reward=449.0700, server_reward=368.9000, episode_total_reward=817.9700, avg_reward_per_step=1.0791, rejected_tasks=61, completed_jobs=56, wall_time=175.92, policy_loss=-0.0150, value_loss=0.0134
episode=103, steps=780, server_farm_reward=466.9400, server_reward=388.6400, episode_total_reward=855.5800, avg_reward_per_step=1.0969, rejected_tasks=56, completed_jobs=54, wall_time=166.73, policy_loss=-0.0153, value_loss=0.0133
episode=104, steps=804, server_farm_reward=485.4500, server_reward=399.9400, episode_total_reward=885.3900, avg_reward_per_step=1.1012, rejected_tasks=64, completed_jobs=57, wall_time=141.75, policy_loss=-0.0105, value_loss=0.0151
episode=105, steps=758, server_farm_reward=397.4800, server_reward=323.9600, episode_total_reward=721.4400, avg_reward_per_step=0.9518, rejected_tasks=103, completed_jobs=56, wall_time=178.09, policy_loss=-0.0051, value_loss=0.0216
episode=106, steps=712, server_farm_reward=411.7200, server_reward=347.5900, episode_total_reward=759.3100, avg_reward_per_step=1.0664, rejected_tasks=94, completed_jobs=53, wall_time=159.36, policy_loss=-0.0101, value_loss=0.0201
episode=107, steps=944, server_farm_reward=636.0300, server_reward=548.8600, episode_total_reward=1184.8900, avg_reward_per_step=1.2552, rejected_tasks=39, completed_jobs=56, wall_time=185.01, policy_loss=-0.0474, value_loss=0.0071
episode=108, steps=674, server_farm_reward=393.5800, server_reward=330.9400, episode_total_reward=724.5200, avg_reward_per_step=1.0750, rejected_tasks=124, completed_jobs=53, wall_time=153.71, policy_loss=-0.0274, value_loss=0.0113
episode=109, steps=810, server_farm_reward=475.9500, server_reward=393.9400, episode_total_reward=869.8900, avg_reward_per_step=1.0739, rejected_tasks=96, completed_jobs=57, wall_time=166.94, policy_loss=-0.0225, value_loss=0.0139
episode=110, steps=1010, server_farm_reward=634.6900, server_reward=550.2800, episode_total_reward=1184.9700, avg_reward_per_step=1.1732, rejected_tasks=49, completed_jobs=56, wall_time=174.81, policy_loss=-0.0346, value_loss=0.0108
episode=111, steps=842, server_farm_reward=521.0900, server_reward=438.9800, episode_total_reward=960.0700, avg_reward_per_step=1.1402, rejected_tasks=74, completed_jobs=57, wall_time=163.98, policy_loss=-0.0265, value_loss=0.0146
episode=112, steps=614, server_farm_reward=285.5300, server_reward=227.2500, episode_total_reward=512.7800, avg_reward_per_step=0.8351, rejected_tasks=128, completed_jobs=52, wall_time=143.85, policy_loss=-0.0053, value_loss=0.0232
episode=113, steps=914, server_farm_reward=600.7600, server_reward=501.7900, episode_total_reward=1102.5500, avg_reward_per_step=1.2063, rejected_tasks=18, completed_jobs=57, wall_time=197.34, policy_loss=-0.0420, value_loss=0.0093
episode=114, steps=650, server_farm_reward=396.2800, server_reward=329.2400, episode_total_reward=725.5200, avg_reward_per_step=1.1162, rejected_tasks=108, completed_jobs=54, wall_time=158.85, policy_loss=-0.0325, value_loss=0.0136
episode=115, steps=814, server_farm_reward=465.4400, server_reward=389.9400, episode_total_reward=855.3800, avg_reward_per_step=1.0508, rejected_tasks=75, completed_jobs=56, wall_time=180.84, policy_loss=-0.0216, value_loss=0.0147
episode=116, steps=584, server_farm_reward=296.3000, server_reward=250.9000, episode_total_reward=547.2000, avg_reward_per_step=0.9370, rejected_tasks=136, completed_jobs=51, wall_time=161.0, policy_loss=-0.0178, value_loss=0.0178
episode=117, steps=640, server_farm_reward=347.3500, server_reward=287.9800, episode_total_reward=635.3300, avg_reward_per_step=0.9927, rejected_tasks=118, completed_jobs=53, wall_time=168.94, policy_loss=-0.0193, value_loss=0.0171
episode=118, steps=702, server_farm_reward=330.4100, server_reward=286.9900, episode_total_reward=617.4000, avg_reward_per_step=0.8795, rejected_tasks=134, completed_jobs=49, wall_time=158.43, policy_loss=-0.0134, value_loss=0.0244
episode=119, steps=754, server_farm_reward=441.1100, server_reward=363.2700, episode_total_reward=804.3800, avg_reward_per_step=1.0668, rejected_tasks=95, completed_jobs=56, wall_time=188.99, policy_loss=-0.0287, value_loss=0.0160
episode=120, steps=736, server_farm_reward=440.3700, server_reward=358.8200, episode_total_reward=799.1900, avg_reward_per_step=1.0859, rejected_tasks=55, completed_jobs=54, wall_time=168.84, policy_loss=-0.0270, value_loss=0.0125
episode=121, steps=662, server_farm_reward=357.5100, server_reward=288.3500, episode_total_reward=645.8600, avg_reward_per_step=0.9756, rejected_tasks=109, completed_jobs=54, wall_time=131.64, policy_loss=-0.0121, value_loss=0.0221
episode=122, steps=684, server_farm_reward=405.2000, server_reward=333.7600, episode_total_reward=738.9600, avg_reward_per_step=1.0804, rejected_tasks=64, completed_jobs=53, wall_time=162.87, policy_loss=-0.0207, value_loss=0.0127
episode=123, steps=784, server_farm_reward=409.6000, server_reward=336.5100, episode_total_reward=746.1100, avg_reward_per_step=0.9517, rejected_tasks=105, completed_jobs=55, wall_time=193.8, policy_loss=-0.0165, value_loss=0.0174
episode=124, steps=556, server_farm_reward=268.4100, server_reward=221.0100, episode_total_reward=489.4200, avg_reward_per_step=0.8803, rejected_tasks=136, completed_jobs=52, wall_time=174.79, policy_loss=-0.0155, value_loss=0.0160
episode=125, steps=714, server_farm_reward=380.0900, server_reward=313.3900, episode_total_reward=693.4800, avg_reward_per_step=0.9713, rejected_tasks=125, completed_jobs=54, wall_time=169.38, policy_loss=-0.0190, value_loss=0.0169
episode=126, steps=654, server_farm_reward=380.1000, server_reward=318.9200, episode_total_reward=699.0200, avg_reward_per_step=1.0688, rejected_tasks=97, completed_jobs=53, wall_time=156.47, policy_loss=-0.0239, value_loss=0.0163
